id,name_en,name_de,name_es,category,force_type,mechanic,difficulty,equipment,body_part,primary_muscles,secondary_muscles,goals,tags,met,is_unilateral,is_bodyweight,description_en,instructions_en,image_flat_start,image_flat_peak,image_flat_main
band-assisted-pull-ups,Band Assisted Pull Ups,Klimmzüge mit Widerstandsband,Dominadas Asistidas con Banda,strength,pull,compound,beginner,resistance_band,back,latissimus_dorsi,biceps_brachii|forearm_flexors|posterior_deltoid|rhomboids,hypertrophy|strength,knee_safe|no_axial_load|lower_back_safe|shoulder_safe,6.0,False,False,"A pull-up variation using a resistance band for assistance, reducing the load to build toward unassisted reps.","Loop a resistance band over the pull-up bar and step one foot into it. | Grip the bar with palms facing away, shoulder-width apart. | Pull your chest toward the bar by driving your elbows down. | Lower yourself under control to a full hang. | Repeat for the desired number of reps.",images/flat/band-assisted-pull-ups-start.webp,images/flat/band-assisted-pull-ups-peak.webp,
band-pull-apart,Band Pull Apart,Band-Pull-Apart,Separación de Banda Elástica,strength,pull,isolation,beginner,resistance_band,shoulders,posterior_deltoid,rhomboids|trapezius,hypertrophy|rehabilitation,pull_day|shoulder_safe,5.0,False,False,A high-volume rear delt and scapular retractor exercise performed by pulling a resistance band apart at shoulder height.,"Stand holding a light resistance band with both hands, arms extended straight in front at shoulder height. | Hands start shoulder-width apart, palms facing down. | Keeping arms straight, pull the band apart by driving the hands out to the sides. | Finish with the band touching your chest and the shoulder blades squeezed together. | Return slowly to the starting position and repeat.",images/flat/band-pull-apart-start.webp,images/flat/band-pull-apart-peak.webp,
banded-adductor-stretch,Banded Adductor Stretch,Adduktoren-Dehnung mit Band,Estiramiento de Aductores con Banda,stretching,static,isolation,beginner,resistance_band,upper_legs,adductors,hamstrings,mobility,mobility|stretching,5.0,True,False,A lying stretch that uses a band to guide one straight leg out to the side and lengthen the inner thigh.,"Lie on your back with a band looped around one foot. | Raise that leg and let it open out to the side. | Hold the band to control how far the leg lowers. | Hold for 20 to 30 seconds, breathing steadily. | Switch sides and repeat.",,,images/flat/banded-adductor-stretch-main.webp
banded-ankle-stretch,Banded Ankle Stretch,Sprunggelenk-Dehnung mit Band,Estiramiento de Tobillo con Banda,stretching,static,isolation,beginner,resistance_band,lower_legs,gastrocnemius,soleus,mobility,mobility|stretching,5.0,True,False,A seated stretch that uses a band around the forefoot to flex the ankle and lengthen the calf.,"Sit with one leg extended and a band around the forefoot. | Hold the band in both hands. | Pull so the toes draw back toward your shin. | Hold for 20 to 30 seconds, breathing steadily. | Switch sides and repeat.",,,images/flat/banded-ankle-stretch-main.webp
banded-calf-stretch,Banded Calf Stretch,Wadendehnung mit Band,Estiramiento de Pantorrilla con Banda,stretching,static,isolation,beginner,resistance_band,lower_legs,gastrocnemius,soleus,mobility,mobility|stretching,5.0,True,False,A lying stretch that uses a band around the ball of the foot to flex the ankle and lengthen the calf.,"Lie on your back and loop a band around the ball of one foot. | Raise the leg and keep it fairly straight. | Pull the band so your toes draw back toward your shin. | Hold for 20 to 30 seconds, breathing steadily. | Switch sides and repeat.",,,images/flat/banded-calf-stretch-main.webp
banded-chest-stretch,Banded Chest Stretch,Brustdehnung mit Band,Estiramiento de Pecho con Banda,stretching,static,isolation,beginner,resistance_band,chest,pectoralis_major,anterior_deltoid,mobility,mobility|stretching,5.0,False,False,A standing stretch that opens the chest by holding a band behind the back and drawing the arms apart.,"Hold a band behind your back with both hands. | Straighten your arms and draw them apart. | Lift your chest and squeeze your shoulder blades. | Hold for 20 to 30 seconds, breathing steadily.",,,images/flat/banded-chest-stretch-main.webp
banded-clamshell,Banded Clamshell,Clamshell mit Band,Almeja con Banda,strength,pull,isolation,beginner,loop_band,upper_legs,gluteus_medius,gluteus_maximus,rehabilitation|endurance|hypertrophy,leg_day|warm_up,5.0,False,False,"A clamshell hip-abduction performed with a loop band wrapped above the knees. The band adds constant tension on the gluteus medius — a small, focused isolation drill for hip stability.","Lie on your side with hips and knees bent to roughly 45 degrees, feet stacked. | Place a loop band around both legs above the knees. | Keep the feet pressed together and the pelvis stable — do not roll back as you move. | Open the top knee upward against the band, like a clamshell opening, until you feel the glute fire. | Pause briefly at the top, then lower under control to the start. | Complete all reps on one side, then switch.",images/flat/banded-clamshell-start.webp,images/flat/banded-clamshell-peak.webp,
banded-figure-4-stretch,Banded Figure-4 Stretch,Vierer-Dehnung mit Band,Estiramiento Figura 4 con Banda,stretching,static,isolation,beginner,resistance_band,upper_legs,gluteus_maximus,gluteus_medius,mobility,mobility|stretching,5.0,True,False,"A lying glute stretch in a figure-4 position, using a band to draw both legs toward the chest.","Lie on your back and cross one ankle over the opposite thigh. | Loop a band around the supporting thigh. | Pull both legs toward your chest with the band. | Hold for 20 to 30 seconds, breathing steadily. | Switch sides and repeat.",,,images/flat/banded-figure-4-stretch-main.webp
banded-fire-hydrant,Banded Fire Hydrant,Banded Fire Hydrant,Hidrante de Fuego con Banda,strength,push,isolation,beginner,loop_band,upper_legs,gluteus_medius,gluteus_maximus,hypertrophy,leg_day|glute_focus,5.0,True,False,"This isolation exercise uses a loop band to target and strengthen the gluteus medius and maximus, improving hip abduction and stability.","Place a loop band just above your knees and assume a quadruped position with hands under shoulders and knees under hips. | Keep your core engaged and back flat, maintaining a neutral spine throughout the movement. | Slowly lift one knee out to the side, keeping the knee bent at 90 degrees, until your thigh is parallel to the floor. | Hold briefly at the top, squeezing your glute, then slowly lower your leg back to the starting position with control. | Complete all repetitions on one side before switching to the other side.",images/flat/banded-fire-hydrant-start.webp,images/flat/banded-fire-hydrant-peak.webp,
banded-glute-bridge,Banded Glute Bridge,Glute Bridge mit Band,Puente de Glúteos con Banda,strength,push,compound,beginner,loop_band,upper_legs,gluteus_maximus,gluteus_medius|hamstrings,hypertrophy|rehabilitation|endurance,leg_day,6.0,False,False,A glute bridge with a loop band placed above the knees. Driving the knees out against the band recruits the gluteus medius alongside the prime glute-max bridge — a cheap accessory that doubles as hip activation.,"Lie on your back with the knees bent and feet flat on the floor, shoulder-width apart. | Place a loop band around both legs just above the knees. | Press the lower back into the floor and brace the core. | Drive through the heels and squeeze the glutes to lift the hips into a bridge — keep the band tension by pushing the knees outward. | At the top, the body forms a straight line from shoulders to knees. Pause briefly. | Lower under control to the start and repeat for the recommended number of repetitions.",images/flat/banded-glute-bridge-start.webp,images/flat/banded-glute-bridge-peak.webp,
banded-good-morning,Banded Good Morning,Banded Good Morning,Buenos Días con Banda,strength,pull,compound,beginner,loop_band,upper_legs,gluteus_maximus|hamstrings,erector_spinae,hypertrophy,pull_day|leg_day,6.0,False,False,"A hip-hinge with a loop band over the upper back, targeting the hamstrings and glutes.","Stand on a loop band with both feet and pass it over the back of your neck. | Set feet hip-width with a soft bend in the knees. | Hinge at the hips, pushing them back with a flat back. | Lower until you feel a stretch in the hamstrings. | Drive the hips forward to return to standing.",images/flat/banded-good-morning-start.webp,images/flat/banded-good-morning-peak.webp,
banded-hamstring-stretch,Banded Hamstring Stretch,Hamstring-Dehnung mit Band,Estiramiento de Isquiotibiales con Banda,stretching,static,isolation,beginner,resistance_band,upper_legs,hamstrings,gastrocnemius,mobility,mobility|stretching,5.0,True,False,A lying stretch that uses a band around the foot to draw a straight leg toward the torso and lengthen the hamstring.,"Lie on your back and loop a band around one foot. | Raise that leg straight up, holding the band in both hands. | Gently pull the band to draw the leg toward you. | Hold for 20 to 30 seconds, breathing steadily. | Switch sides and repeat.",,,images/flat/banded-hamstring-stretch-main.webp
banded-hip-thrust,Banded Hip Thrust,Band-Hüftstoß,Empuje de Cadera con Banda,strength,push,compound,beginner,loop_band,upper_legs,gluteus_maximus,gluteus_medius|hamstrings,hypertrophy|strength,leg_day|glute_focus|requires_bench,6.0,False,False,"This exercise uses a loop band to increase glute activation during a hip thrust, effectively targeting the gluteus maximus, hamstrings, and gluteus medius for improved lower body strength.","Place a loop band just above your knees and sit on the floor with your upper back against a bench. | Bend your knees, plant your feet hip-width apart, and position the band to create tension. | Drive through your heels, extend your hips, and lift your glutes off the floor until your body forms a straight line from shoulders to knees. | Squeeze your glutes forcefully at the top, ensuring your knees are pushed out against the band. | Slowly lower your hips back to the starting position with control.",images/flat/banded-hip-thrust-start.webp,images/flat/banded-hip-thrust-peak.webp,
banded-it-band-stretch,Banded IT-Band Stretch,IT-Band-Dehnung mit Band,Estiramiento de Banda Iliotibial con Banda,stretching,static,isolation,beginner,resistance_band,upper_legs,abductors,gluteus_maximus|gluteus_medius,mobility,mobility|stretching,5.0,True,False,A lying stretch that uses a band to draw one leg across the body and target the outer thigh and hip.,"Lie on your back with a band around one raised foot. | Hold the band with the opposite hand. | Draw the straight leg across your body toward the floor. | Hold for 20 to 30 seconds, breathing steadily. | Switch sides and repeat.",,,images/flat/banded-it-band-stretch-main.webp
banded-kneeling-hip-thrust,Banded Kneeling Hip Thrust,Kniender Hüftstoß mit Band,Empuje de Cadera Arrodillado con Banda,strength,push,compound,beginner,loop_band,upper_legs,gluteus_maximus,hamstrings,hypertrophy,leg_day|glute_focus,6.0,False,False,This exercise strengthens the glutes and hamstrings by driving the hips forward against band resistance from a kneeling position.,"Place a loop band just above your knees. Kneel on the floor with your torso upright and knees hip-width apart. | Lean slightly forward from your hips, keeping your back straight and core braced. | Initiate the movement by squeezing your glutes, driving your hips forward until your torso is upright. | Squeeze your glutes hard at the top, maintaining tension on the band. | Slowly reverse the movement, controlling the band's resistance as you return to the starting position.",images/flat/banded-kneeling-hip-thrust-start.webp,images/flat/banded-kneeling-hip-thrust-peak.webp,
banded-lat-stretch,Banded Lat Stretch,Lat-Dehnung mit Band,Estiramiento de Dorsales con Banda,stretching,static,isolation,beginner,resistance_band,back,latissimus_dorsi,posterior_deltoid,mobility,mobility|stretching,5.0,False,False,A standing stretch that lengthens the lats by hinging forward while holding a band overhead under tension.,"Hold a band overhead with both hands under light tension. | Hinge forward at the hips with your arms reaching ahead. | Let your chest sink to lengthen the sides of your back. | Hold for 20 to 30 seconds, breathing steadily.",,,images/flat/banded-lat-stretch-main.webp
banded-lateral-walk,Banded Lateral Walk,Lateral Walk mit Band,Caminata Lateral con Banda,strength,dynamic,compound,beginner,loop_band,upper_legs,gluteus_medius,gluteus_maximus|quadriceps,rehabilitation|endurance|hypertrophy,leg_day|warm_up,6.0,False,False,A side-stepping movement performed with a loop band wrapped above the knees or around the ankles. Constant abduction tension fires the gluteus medius — a staple warm-up and rehab drill for hip stability.,"Place a loop band around the legs above the knees (or around the ankles for a harder version). | Stand in a quarter-squat: feet shoulder-width, hips back, chest up, knees tracking over the toes. | Step one foot directly out to the side against the band tension. | Bring the trailing foot in toward the lead — keep tension on the band the entire time, do not let the feet snap together. | Continue side-stepping in one direction for the prescribed reps or distance, then reverse. | Stay low throughout; do not pop up between steps.",images/flat/banded-lateral-walk-start.webp,images/flat/banded-lateral-walk-peak.webp,
banded-rear-delt-stretch,Banded Rear Delt Stretch,Hintere-Schulter-Dehnung mit Band,Estiramiento de Deltoides Posterior con Banda,stretching,static,isolation,beginner,resistance_band,shoulders,posterior_deltoid,rhomboids|trapezius,mobility,mobility|stretching,5.0,True,False,A standing stretch that targets the rear shoulder by pulling one arm across the body against band tension.,"Loop a band around one arm and hold the other end. | Draw that arm horizontally across your chest. | Use the band to deepen the pull gently. | Hold for 20 to 30 seconds, breathing steadily. | Switch sides and repeat.",,,images/flat/banded-rear-delt-stretch-main.webp
banded-romanian-deadlift,Banded Romanian Deadlift,Banded Romanian Deadlift,Peso Muerto Rumano con Banda,strength,pull,compound,beginner,loop_band,upper_legs,gluteus_maximus|hamstrings,erector_spinae,hypertrophy,pull_day|leg_day,6.0,False,False,"A Romanian deadlift using a loop band, ideal for warm-ups and learning the hip-hinge pattern.","Stand on a loop band with both feet and grip the top of the band. | Set feet hip-width with a soft bend in the knees. | Hinge at the hips, sliding the hands down the legs. | Lower until you feel a stretch in the hamstrings. | Drive the hips forward to return to standing.",images/flat/banded-romanian-deadlift-start.webp,images/flat/banded-romanian-deadlift-peak.webp,
banded-seated-hip-abduction,Banded Seated Hip Abduction,Bandgestütztes sitzendes Hüftabduktion,Abducción de Cadera Sentado con Banda,strength,push,isolation,beginner,loop_band,upper_legs,gluteus_medius,gluteus_maximus,hypertrophy,leg_day|glute_focus,5.0,False,False,This isolation exercise targets the gluteus medius and maximus by externally rotating the hips against band resistance while seated.,"Sit on a bench or chair with a loop band around your knees. | Keep your feet flat on the floor, hip-width apart, and maintain an upright posture. | Push your knees outwards against the band, engaging your glutes. | Hold the peak contraction briefly, then slowly return your knees to the starting position. | Control the movement throughout the entire range of motion.",images/flat/banded-seated-hip-abduction-start.webp,images/flat/banded-seated-hip-abduction-peak.webp,
banded-shoulder-stretch,Banded Shoulder Stretch,Schulterdehnung mit Band,Estiramiento de Hombros con Banda,stretching,static,isolation,beginner,resistance_band,shoulders,anterior_deltoid,pectoralis_major,mobility,mobility|stretching,5.0,False,False,"A standing stretch that opens the shoulders and chest by holding a band behind the back, one hand high and one low.","Hold a band behind your back, one hand high and one low. | Keep light tension in the band. | Open your chest and draw your shoulders gently back. | Hold for 20 to 30 seconds, breathing steadily.",,,images/flat/banded-shoulder-stretch-main.webp
banded-squat,Banded Squat,Banded Squat,Sentadilla con Banda,strength,push,compound,beginner,loop_band,upper_legs,gluteus_maximus|quadriceps,gluteus_medius|hamstrings,hypertrophy,leg_day,6.0,False,False,A bodyweight squat with a loop band above the knees to teach knees-out tracking.,"Place a loop band just above the knees. | Stand with feet shoulder-width apart, toes slightly out. | Push the knees out against the band as you squat down. | Descend until thighs are parallel or below. | Drive through the heels to stand back up.",images/flat/banded-squat-start.webp,images/flat/banded-squat-peak.webp,
banded-standing-curl,Banded Standing Curl,Banded Standing Curl,Curl de Pierna de Pie con Banda,strength,pull,isolation,beginner,loop_band,upper_legs,hamstrings,gastrocnemius,hypertrophy,arm_day|pull_day,5.0,True,False,"A standing hamstring curl using a loop band anchored around the ankle, useful for travel or as a low-load hamstring finisher.","Loop a resistance band around one ankle and anchor the other end under your standing foot or a fixed point in front of you. | Stand tall, holding onto something for balance if needed, with a slight bend in the standing knee. | Curl the banded heel up and back toward your glute, keeping the thigh still. | Squeeze the hamstring at the top, then lower under control to a full stretch. | Complete all reps on one side, then switch legs.",images/flat/banded-standing-curl-start.webp,images/flat/banded-standing-curl-peak.webp,
banded-standing-hip-abduction,Banded Standing Hip Abduction,Bandgestütztes Stehendes Hüftabduktion,Abducción de Cadera de Pie con Banda,strength,push,isolation,beginner,loop_band,upper_legs,gluteus_medius,gluteus_maximus,hypertrophy,leg_day|glute_focus,5.0,True,False,"This isolation exercise targets the gluteus medius and maximus, improving hip stability and strength by abducting the leg against band resistance.","Place a loop band around your ankles or just above your knees. | Stand tall with a slight bend in your knees and brace your core. | Shift your weight onto one leg, maintaining a stable torso. | Slowly abduct the free leg out to the side, feeling the glute contract. | Control the movement as you return the leg to the starting position. | Complete all reps per side before switching.",images/flat/banded-standing-hip-abduction-start.webp,images/flat/banded-standing-hip-abduction-peak.webp,
banded-standing-hip-adduction,Banded Standing Hip Adduction,Banded Standing Hip Adduction,Aducción de Cadera de Pie con Banda,strength,pull,isolation,beginner,loop_band,upper_legs,adductors,,hypertrophy,leg_day,5.0,True,False,"A standing hip adduction with a loop band, isolating the inner thigh adductors.","Anchor a loop band to a sturdy upright at ankle height. | Step into the loop with the working leg facing the anchor side. | Stand a few feet away so the band has tension. | Sweep the working leg across the body toward the standing leg. | Return slowly to the start. Complete reps per side, then switch.",images/flat/banded-standing-hip-adduction-start.webp,images/flat/banded-standing-hip-adduction-peak.webp,
banded-triceps-stretch,Banded Triceps Stretch,Trizeps-Dehnung mit Band,Estiramiento de Tríceps con Banda,stretching,static,isolation,beginner,resistance_band,upper_arms,triceps_brachii,latissimus_dorsi,mobility,mobility|stretching,5.0,True,False,A standing stretch that lengthens the triceps by reaching one hand behind the head against band tension.,"Hold a band that runs down your back, top hand behind your head. | Anchor the lower hand at your lower back. | Reach the top hand down to feel the triceps lengthen. | Hold for 20 to 30 seconds, breathing steadily. | Switch sides and repeat.",,,images/flat/banded-triceps-stretch-main.webp
barbell-ab-rollout,Barbell Ab Rollout,Langhantel-Ab-Rollout,Rueda Abdominal con Barra,strength,dynamic,compound,intermediate,barbell,core,rectus_abdominis,latissimus_dorsi|obliques|transverse_abdominis,hypertrophy|strength,core|lower_back_safe,6.0,False,False,"A kneeling ab rollout using a loaded barbell with plates, giving smoother rolling and adjustable load compared to an ab wheel.","Load plates of equal size on both ends of a barbell and place it on the floor. | Kneel behind the bar and grip it shoulder-width, arms extended. | Brace the core hard, then roll the bar forward away from your body. | Go as far as you can keep a neutral spine — stop before the hips sag. | Pull the bar back to the starting position by contracting the abs and lats. | Repeat for the recommended number of repetitions.",images/flat/barbell-ab-rollout-start.webp,images/flat/barbell-ab-rollout-peak.webp,
barbell-calf-raise,Barbell Calf Raise,Langhantel-Wadenheben,Elevación de Talones con Barra,strength,push,isolation,intermediate,barbell,lower_legs,gastrocnemius,soleus,hypertrophy,knee_safe|shoulder_safe|lower_back_safe|no_axial_load,5.0,False,False,"A standing calf raise loaded with a barbell across the upper back, using a raised platform for a deeper heel stretch.",Place a barbell across your upper back as in a squat. | Stand with the balls of your feet on a raised platform. | Push up onto your toes as high as possible. | Pause and squeeze your calves at the top. | Lower your heels below the platform and repeat.,images/flat/barbell-calf-raise-start.webp,images/flat/barbell-calf-raise-peak.webp,
barbell-curl,Barbell Curl,Langhantel-Curl,Curl con Barra,strength,pull,isolation,beginner,barbell,upper_arms,biceps_brachii,brachialis|forearm_flexors,hypertrophy,arm_day|knee_safe|shoulder_safe|lower_back_safe|no_axial_load,5.0,False,False,A classic biceps isolation exercise using a barbell for maximal loading.,"Stand holding a barbell with a shoulder-width underhand grip. | Curl the bar up toward your shoulders. | Squeeze at the top, then lower under control. | Repeat.",images/flat/barbell-curl-start.webp,images/flat/barbell-curl-peak.webp,
barbell-front-raise,Barbell Front Raise,Langhantel-Frontheben,Elevación Frontal con Barra,strength,push,isolation,intermediate,barbell,shoulders,anterior_deltoid,lateral_deltoid|pectoralis_major|serratus_anterior,hypertrophy,knee_safe|lower_back_safe|shoulder_safe|no_axial_load,5.0,False,False,"An isolation exercise raising a barbell from the thighs to shoulder height, targeting the front deltoids.",Stand holding a barbell with an overhand grip at thigh level. | Keep your arms straight and core braced. | Raise the barbell in front of you to shoulder height. | Pause briefly at the top. | Lower under control and repeat.,images/flat/barbell-front-raise-start.webp,images/flat/barbell-front-raise-peak.webp,
barbell-glute-bridge,Barbell Glute Bridge,Langhantel-Gesäßbrücke,Puente de Glúteos con Barra,strength,push,compound,intermediate,barbell,upper_legs,gluteus_maximus,hamstrings,hypertrophy|strength,leg_day|lower_back_safe|knee_safe|shoulder_safe|no_axial_load,6.0,False,False,A weighted glute bridge using a barbell for increased resistance.,Lie on the floor with a barbell across your hips and knees bent. | Drive your hips up by squeezing your glutes. | Hold at the top with hips fully extended. | Lower with control. | Repeat.,images/flat/barbell-glute-bridge-start.webp,images/flat/barbell-glute-bridge-peak.webp,
barbell-lunge,Barbell Lunge,Langhantel-Ausfallschritt,Zancada con Barra,strength,push,compound,intermediate,barbell,upper_legs,gluteus_maximus|quadriceps,erector_spinae|gluteus_medius|hamstrings,hypertrophy|strength,knee_safe,6.0,True,False,"A forward lunge with a barbell across the upper back, training the quads and glutes one leg at a time.","Place a barbell across your upper back and stand tall. | Step forward with one leg into a long stride. | Lower your back knee toward the ground until your front thigh is parallel. | Drive through your front heel to return to standing. | Complete reps on one side, then switch.",images/flat/barbell-reverse-lunge-start.webp,images/flat/barbell-reverse-lunge-peak.webp,
barbell-overhead-extension,Barbell Overhead Extension,Langhantel-Überkopf-Extension,Extensión de Barra por Encima de la Cabeza,strength,push,isolation,intermediate,barbell,upper_arms,triceps_brachii,,hypertrophy|strength,arm_day|push_day,5.0,False,False,"This isolation exercise effectively targets the triceps brachii by extending the elbows overhead, promoting muscle hypertrophy and strength.","Load a barbell with an appropriate weight and stand or sit with a neutral spine. | Grip the barbell with an overhand, shoulder-width grip, and press it overhead. | Slowly lower the barbell behind your head by flexing your elbows, keeping your upper arms stable. | Extend your elbows to press the barbell back to the starting overhead position, squeezing your triceps. | Maintain control throughout the movement, avoiding momentum.",images/flat/barbell-overhead-extension-start.webp,images/flat/barbell-overhead-extension-peak.webp,
barbell-preacher-curl,Barbell Preacher Curl,Langhantel-Preacher-Curl,Curl Predicador con Barra,strength,pull,isolation,intermediate,barbell,upper_arms,biceps_brachii,brachialis,hypertrophy,arm_day|pull_day,5.0,False,False,"This isolation exercise targets the biceps brachii and brachialis by fixing the upper arms on a preacher bench, minimizing momentum and maximizing tension.","Sit on a preacher bench with your chest against the pad, gripping a barbell with an underhand, shoulder-width grip. | Position your upper arms firmly against the pad, ensuring your elbows are slightly bent at the start. | Curl the barbell upwards by contracting your biceps, keeping your upper arms stationary on the pad. | Squeeze your biceps at the top of the movement, focusing on peak contraction. | Slowly lower the barbell back to the starting position, controlling the eccentric phase. | Fully extend your arms at the bottom to achieve a complete stretch in the biceps.",images/flat/barbell-preacher-curl-start.webp,images/flat/barbell-preacher-curl-peak.webp,
